(726, 817) | (768, 558)
(906, 442) | (977, 274)
(633, 470) | (982, 31)
(677, 315) | (817, 848)
(700, 526) | (934, 687)
(187, 453) | (297, 988)
(31, 381) | (343, 957)
(119, 274) | (907, 794)
(147, 222) | (410, 719)
(195, 878) | (825, 735)
(625, 219) | (895, 896)
(170, 644) | (826, 219)
(652, 720) | (809, 101)
(126, 905) | (189, 477)
(671, 468) | (833, 809)
(937, 295) | (523, 663)
(820, 223) | (187, 69)
(630, 927) | (222, 928)
(678, 94) | (149, 107)
(491, 148) | (677, 570)
(6, 361) | (850, 63)
(958, 988) | (387, 523)
(532, 57) | (281, 496)
(105, 742) | (402, 933)
(615, 830) | (685, 570)
(609, 251) | (997, 569)
(842, 568) | (646, 516)
(513, 156) | (813, 642)
(672, 994) | (302, 65)
(217, 72) | (231, 151)
(20, 389) | (816, 203)
(509, 962) | (993, 17)
(967, 588) | (772, 324)
(886, 972) | (255, 133)
(883, 545) | (785, 514)
(34, 692) | (122, 195)
(262, 311) | (242, 784)
(559, 655) | (341, 24)
(711, 892) | (651, 256)
(196, 887) | (492, 638)
(245, 995) | (610, 2)
(157, 772) | (92, 191)
(733, 102) | (839, 643)
(837, 859) | (447, 907)
(341, 778) | (427, 647)
(90, 624) | (990, 873)
(2, 557) | (672, 379)
(786, 520) | (829, 541)
(634, 553) | (315, 250)
(921, 338) | (193, 151)
(535, 510) | (773, 482)
(120, 859) | (562, 702)
(569, 458) | (993, 123)
(630, 799) | (256, 264)
(295, 839) | (823, 530)
(945, 851) | (896, 467)
(552, 304) | (419, 391)
(600, 932) | (912, 299)
(467, 799) | (217, 909)
(949, 271) | (497, 328)
(615, 589) | (908, 360)
(120, 103) | (614, 637)
(864, 240) | (378, 593)
(533, 995) | (160, 481)
(985, 37) | (332, 35)
(859, 225) | (117, 158)
(755, 241) | (176, 124)
(729, 829) | (229, 401)
(485, 357) | (607, 416)
(103, 135) | (525, 756)
(457, 86) | (585, 41)
(700, 707) | (464, 545)
(905, 410) | (815, 581)
(923, 584) | (991, 53)
(966, 443) | (430, 923)
(308, 999) | (865, 455)
(992, 689) | (52, 882)
(816, 940) | (519, 185)
(377, 521) | (384, 291)
(728, 405) | (536, 425)
(916, 776) | (652, 823)
(558, 451) | (743, 721)
(183, 42) | (883, 654)
(641, 781) | (933, 46)
(257, 17) | (167, 75)
(558, 568) | (615, 717)
(685, 992) | (703, 680)
(642, 656) | (932, 321)
(906, 75) | (169, 926)
(402, 871) | (231, 118)
(672, 483) | (725, 481)
(448, 466) | (75, 959)
(906, 961) | (156, 874)
(602, 936) | (909, 376)
(94, 632) | (784, 322)
(694, 567) | (426, 483)
(334, 161) | (494, 911)
(716, 947) | (106, 924)
(138, 528) | (467, 340)
(311, 296) | (315, 74)
(237, 126) | (151, 979)
(817, 423) | (953, 12)
(396, 690) | (64, 267)
(546, 169) | (612, 961)
(628, 354) | (52, 796)
(828, 261) | (773, 963)
(491, 736) | (681, 704)
(869, 126) | (988, 225)
(566, 44) | (636, 94)
(918, 276) | (941, 364)
(350, 22) | (250, 241)
(469, 433) | (17, 317)
(540, 842) | (62, 16)
(799, 403) | (410, 226)
(76, 735) | (733, 554)
(806, 127) | (385, 769)
(347, 628) | (942, 709)
(809, 250) | (268, 712)
(158, 903) | (183, 881)
(502, 125) | (792, 122)
(545, 914) | (388, 617)
(539, 770) | (488, 975)
(117, 90) | (647, 899)
